ID,System,Component / pattern,Rule (paraphrased),Class,Checked by existing tool?,Expressible in draft schema,Notes,Source
R001,Primer,Button,Only one primary button per page where possible,S,none,yes,"Cardinality, scope=page",https://primer.style/product/components/button/guidelines/
R002,Primer,Button,Never more than one primary button in a group of buttons,S,none,yes,"Cardinality, scope=group",https://primer.style/product/components/button/guidelines/
R003,Primer,Button,Danger variant should normally prompt a confirmation dialog,S,none,yes,Accompaniment: danger trigger requires confirmation,https://primer.style/product/components/button/guidelines/
R004,Primer,Button,Labels must not contain line breaks,P,none,yes,Property: no newline in label,https://primer.style/product/components/button/guidelines/
R005,Primer,Button,"Labels use sentence case, never all caps",P,none,yes,Regex heuristic; proper nouns need exceptions,https://primer.style/product/components/button/guidelines/
R006,Primer,Button,Do not remove default focus styles,D,axe (partial),ext,Computed style at runtime,https://primer.style/product/components/button/guidelines/
R007,Primer,Button,Primary button goes at the end of a ButtonGroup,S,none,yes,Ordering within group,https://primer.style/product/components/button/guidelines/
R008,Primer,Button,"Pair a primary with a default button, not multiple primaries",S,none,yes,"Duplicate of cardinality rule, kept for count",https://primer.style/product/components/button/guidelines/
R009,Primer,Button,An inactive button must respond to click with a dialog explaining why,D,none,ext,Behavioural; needs event tracing,https://primer.style/product/components/button/guidelines/
R010,Primer,Button,"When using an inactive button, something else on the page should explain the outage",I,none,no,Page-level semantics,https://primer.style/product/components/button/guidelines/
R011,Primer,Button,"Multiple selections shown as &apos;N selected&apos;, not comma-separated",P,none,ext,Literal pattern on label text,https://primer.style/product/components/button/guidelines/
R012,Primer,Button,Default variant used for most actions; other variants signal hierarchy,I,none,no,Soft guidance,https://primer.style/product/components/button/guidelines/
R013,Primer,Button,Keep labels succinct,I,none,no,No threshold given,https://primer.style/product/components/button/guidelines/
R014,Primer,ButtonGroup,Normally only default-type buttons inside a ButtonGroup,S,none,yes,Containment + variant,https://primer.style/product/components/button-group/guidelines/
R015,Primer,ButtonGroup,At most one primary button in a ButtonGroup,S,none,yes,Cardinality,https://primer.style/product/components/button-group/guidelines/
R016,Primer,ButtonGroup,Avoid grouping too many buttons,S,none,ext,Cardinality with unspecified threshold,https://primer.style/product/components/button-group/guidelines/
R017,Primer,ButtonGroup,Do not use ButtonGroup to indicate selection; use SegmentedControl,I,none,no,Requires knowing the group&apos;s purpose,https://primer.style/product/components/button-group/guidelines/
R018,Primer,ButtonGroup,Do not use ButtonGroup as tab navigation; use UnderlineNav,I,none,no,Purpose-based substitution,https://primer.style/product/components/button-group/guidelines/
R019,Primer,ButtonGroup,Only group buttons with related functionality,I,none,no,,https://primer.style/product/components/button-group/guidelines/
R020,Primer,IconButton,IconButton must have a tooltip with a text label,S,axe (partial),yes,"Accompaniment; axe catches missing name, not tooltip",https://primer.style/product/components/icon-button/guidelines/
R021,Primer,IconButton,Only use IconButton when the icon is easily understood,I,none,no,,https://primer.style/product/components/icon-button/guidelines/
R022,Primer,Dialog,Title is required for every dialog,P,none,yes,Required property,https://primer.style/product/components/dialog/guidelines/
R023,Primer,Dialog,Close button is required and may not be visually hidden,S,none,yes,Required child + property,https://primer.style/product/components/dialog/guidelines/
R024,Primer,Dialog,Primary footer actions are right-aligned; secondary may sit left,S,none,yes,Ordering by role within footer,https://primer.style/product/components/dialog/guidelines/
R025,Primer,Dialog,Add a footer divider when the body scrolls,D,none,ext,Depends on rendered overflow,https://primer.style/product/components/dialog/guidelines/
R026,Primer,Dialog,"Backdrop click dismisses, unless the dialog contains a form",S,none,yes,Conditional on containment,https://primer.style/product/components/dialog/guidelines/
R027,Primer,Dialog,Content stays inside a 16px safe area,V,stylelint (partial),yes,Spacing token,https://primer.style/product/components/dialog/guidelines/
R028,Primer,Dialog,Close button sits 8px from the edges,V,none,yes,Spacing token,https://primer.style/product/components/dialog/guidelines/
R029,Primer,Dialog,Footer buttons always inside the safe area,D,none,ext,Layout result,https://primer.style/product/components/dialog/guidelines/
R030,Primer,Dialog,Prefer single-column layouts; avoid a whole page inside a dialog,I,none,no,Proxy: multi-column grid inside Dialog,https://primer.style/product/components/dialog/guidelines/
R031,Primer,Dialog,Avoid side navigation inside a dialog,S,none,yes,Containment: NavList not inside Dialog,https://primer.style/product/components/dialog/guidelines/
R032,Primer,Dialog,Up to two nested dialogs acceptable; more than three discouraged,S,none,yes,Nesting depth,https://primer.style/product/components/dialog/guidelines/
R033,Primer,Dialog,Esc closes only the top-most dialog,D,none,ext,Runtime focus/keyboard,https://primer.style/product/components/dialog/guidelines/
R034,Primer,Dialog,"On closing a nested dialog, focus returns to its trigger in the parent dialog",D,none,ext,Runtime focus,https://primer.style/product/components/dialog/guidelines/
R035,Primer,Dialog,Dialogs must adapt to narrow viewports,R,none,yes,Responsive transformation,https://primer.style/product/components/dialog/guidelines/
R036,Primer,Dialog,Centered dialogs keep 16px between frame and viewport,V,none,yes,,https://primer.style/product/components/dialog/guidelines/
R037,Primer,Dialog,Left side sheets reserved for global navigation,I,none,no,Purpose semantics; proxy possible via region role,https://primer.style/product/components/dialog/guidelines/
R038,Primer,Dialog,Do not use side sheets for create/edit forms,S,none,yes,Containment: form inside position=left/right,https://primer.style/product/components/dialog/guidelines/
R039,Primer,Dialog,Side sheets must show a backdrop covering global navigation,S,none,yes,Required sibling/overlay,https://primer.style/product/components/dialog/guidelines/
R040,Primer,Dialog,Only one side sheet at a time,S,none,yes,Cardinality,https://primer.style/product/components/dialog/guidelines/
R041,Primer,Dialog,Avoid side sheets on non-full-width pages unless a global action,I,none,no,,https://primer.style/product/components/dialog/guidelines/
R042,Primer,Dialog,Bottom sheet is full width and dims the screen,PL,none,yes,Narrow-viewport realisation,https://primer.style/product/components/dialog/guidelines/
