ID,System,Component / pattern,Rule (paraphrased),Your class (V/K/P/S/PL/R/D/I)
R091,Carbon,Button,Use {verb}+{noun} labels except for common actions,
R059,Primer,Delete pattern,Prefer undo over confirmation where reversal is possible,
R026,Primer,Dialog,"Backdrop click dismisses, unless the dialog contains a form",
R172,Polaris,ButtonGroup,Groups of up to six buttons only if they are icon-only,
R163,Polaris,Common actions,Delete actions always at the bottom of an action list,
R006,Primer,Button,Do not remove default focus styles,
R037,Primer,Dialog,Left side sheets reserved for global navigation,
R199,GOV.UK,Button,Align the primary button to the left edge of the form,
R115,Carbon,Button,"Use default icon variants, never filled (except status icons)",
R154,Carbon,Dialog pattern,"Tab order: body, primary, secondary, close",
R185,Spectrum,Button,Icon-only buttons require an accessible label,
R171,Polaris,ButtonGroup,Consider how groups look on small screens,
R189,Spectrum,Colour,"Yellow, orange, chartreuse and cyan backgrounds must use black text",
R057,Primer,Delete pattern,"Type-to-confirm only for irreversible, wide-blast-radius actions",
R021,Primer,IconButton,Only use IconButton when the icon is easily understood,
R029,Primer,Dialog,Footer buttons always inside the safe area,
R153,Carbon,Dialog pattern,Do not put first focus on a button when inputs exist,
R150,Carbon,Dialog pattern,Avoid accordions and tabs inside dialogs,
R123,Carbon,Dialog pattern,Do not use a dialog for content unrelated to the workflow,
R071,Carbon,Button,Do not mix button sizes within a group,
R180,Polaris,Setting toggle,Toggle button says exactly &apos;Turn on&apos; or &apos;Turn off&apos;,
R090,Carbon,Button,Do not use tertiary with danger-ghost,
R111,Carbon,Button,"Universal actions map to fixed icons (Delete -> Trash can, Add -> Add, ...)",
R044,Primer,Dialog,Dialogs with input fields must use full-screen variant on narrow viewports,
R001,Primer,Button,Only one primary button per page where possible,
R039,Primer,Dialog,Side sheets must show a backdrop covering global navigation,
R010,Primer,Button,"When using an inactive button, something else on the page should explain the outage",
R148,Carbon,Dialog pattern,"While loading, overlay the body and disable the primary action",
R023,Primer,Dialog,Close button is required and may not be visually hidden,
R196,Spectrum,Alert dialog,Description gives only the context needed for the decision,
R198,GOV.UK,Button,"Use the standard label vocabulary (Start now, Continue, Save and continue, ...)",
R160,Polaris,Common actions,Use a tertiary icon button for actions on list and table rows,
R212,GOV.UK,Button,Show loading feedback before relying on double-click prevention,
R096,Carbon,Button,Primary takes default focus when a dialog opens with no other actionable control,
R015,Primer,ButtonGroup,At most one primary button in a ButtonGroup,
R116,Carbon,Button,Icon-only buttons used sparingly; only for recognisable icons or toolbars,
R061,Primer,Delete pattern,Confirm label states the action; not Yes/OK/Confirm,
R201,GOV.UK,Button,"Start buttons use a link tag, not a button tag",
R206,GOV.UK,Button,Initial destructive CTA is another style; warning style only on final confirmation,
R082,Carbon,Button,1px $button-separator border between fluid buttons,
R030,Primer,Dialog,Prefer single-column layouts; avoid a whole page inside a dialog,
R170,Polaris,ButtonGroup,Too many CTAs leave merchants unsure; keep groups small,
R009,Primer,Button,An inactive button must respond to click with a dialog explaining why,
R017,Primer,ButtonGroup,Do not use ButtonGroup to indicate selection; use SegmentedControl,
R032,Primer,Dialog,Up to two nested dialogs acceptable; more than three discouraged,
R040,Primer,Dialog,Only one side sheet at a time,
R016,Primer,ButtonGroup,Avoid grouping too many buttons,
R133,Carbon,Dialog pattern,Passive modals close on outside click; transactional do not,
R143,Carbon,Dialog pattern,Body scrolls while header and footer stay fixed,
R203,GOV.UK,Button,Too many secondary buttons means simplify or split the page,
