id,system,component,rule_text,source_url,class,checkable,checked_by_tool_today,notes
PRM-01,GitHub Primer,button,Never put more than one primary button in a group of buttons.,https://primer.style/components/button,B,yes,,Count of primary variant within a button group; tree property.
PRM-02,GitHub Primer,button,Rarely use more than one primary button per page.,https://primer.style/components/button,B,yes,,Count of primary variant across a region; soft rule (rarely) so needs a threshold.
PRM-03,GitHub Primer,button,Danger buttons are used sparingly for destructive actions and typically prompt a confirmation dialog.,https://primer.style/components/button,B,yes,,Trigger is the danger variant (node-local); companion is a confirmation dialog in the tree. This is the flagship Class B shape.
PRM-04,GitHub Primer,button,Avoid disabling buttons because it makes them inaccessible to keyboard users.,https://primer.style/components/button,A,yes,,Detect the disabled prop on a button element.
PRM-05,GitHub Primer,button,Use the inactive prop when a system error such as an outage prevents the button from performing its action.,https://primer.style/components/button,A,no,,Depends on runtime system state; not statically decidable.
PRM-06,GitHub Primer,button,Use large buttons sparingly; a medium button is appropriate more often than not.,https://primer.style/components/button,A,no,,Sparingly is a judgement about frequency and emphasis.
PRM-07,GitHub Primer,button,Use sentence case for button labels and do not use all-caps.,https://primer.style/product/components/button/guidelines,C,no,,Casing is detectable but proper nouns and acronyms need semantic judgement.
PRM-08,GitHub Primer,button,Keep button labels succinct with no line breaks.,https://primer.style/product/components/button/guidelines,C,no,,Succinct is a content judgement.
PRM-09,GitHub Primer,button,Show focus styles on keyboard focus and do not remove default focus styles.,https://primer.style/product/components/button/guidelines,D,no,,Needs the rendered/computed style and focus state.
PRM-10,GitHub Primer,button,Place primary buttons at the end of a ButtonGroup.,https://primer.style/product/components/button/guidelines,B,yes,,Order of children within a ButtonGroup; tree property.
PRM-11,GitHub Primer,button,Provide feedback via a dialog or tooltip when a user clicks an inactive button.,https://primer.style/product/components/button/guidelines,B,no,,Requires runtime interaction behavior.
PRM-12,GitHub Primer,dialog,A title is required for all Dialogs and it may be visually hidden.,https://primer.style/product/components/dialog/guidelines,A,yes,axe-core (partial),Overlaps with axe aria-dialog-name; node has an accessible name.
PRM-13,GitHub Primer,dialog,The close button is required and may not be visually hidden.,https://primer.style/product/components/dialog/guidelines,A,yes,,Presence of a visible close control on the dialog node/subtree.
PRM-14,GitHub Primer,dialog,Avoid creating a whole page inside a Dialog and prefer single-column layouts.,https://primer.style/product/components/dialog/guidelines,B,no,,Whole page is a subjective structural judgement.
PRM-15,GitHub Primer,dialog,Avoid side navigation within a Dialog.,https://primer.style/product/components/dialog/guidelines,B,yes,,Nothing navigational inside a modal; detect nav landmarks in the dialog subtree.
PRM-16,GitHub Primer,dialog,Up to two nested Dialogs is acceptable and more than three nested Dialogs is discouraged.,https://primer.style/product/components/dialog/guidelines,B,yes,,Nesting depth of dialog nodes; tree property.
PRM-17,GitHub Primer,dialog,On closing a nested Dialog focus should return to the trigger control.,https://primer.style/product/components/dialog/guidelines,D,no,,Focus behavior after interaction; rendered/runtime.
PRM-18,GitHub Primer,dialog,Pressing Esc should only close the top-level Dialog.,https://primer.style/product/components/dialog/guidelines,D,no,,Keyboard dismissal behavior; runtime.
PRM-19,GitHub Primer,dialog,If a Dialog contains a form with unsaved changes the backdrop should not dismiss it.,https://primer.style/product/components/dialog/guidelines,B,yes,,Detect a form in the dialog subtree plus the backdrop-dismiss config on the dialog node.
PRM-20,GitHub Primer,dialog,Dialogs must adjust their design to fit smaller viewports.,https://primer.style/product/components/dialog/guidelines,D,no,,Responsive rendering across viewports.
PRM-21,GitHub Primer,dialog,Dialogs with input fields should use the full-screen variant on narrow viewports.,https://primer.style/product/components/dialog/guidelines,A,no,,Depends on viewport width at render time.
PRM-22,GitHub Primer,dialog,Primary actions should be aligned to the right of the footer.,https://primer.style/product/components/dialog/guidelines,D,no,,Visual alignment in the rendered footer.
PRM-23,GitHub Primer,dialog,Before using an extra-large Dialog consider whether the content belongs on a new page.,https://primer.style/components/dialog,C,no,,Content-fit judgement.
PRM-24,GitHub Primer,dialog,A Dialog must support both Esc and close-button dismissal.,https://primer.style/components/dialog,B,yes,,Presence of a close button plus an Esc handler on the dialog.
CRB-01,IBM Carbon,button,Each page should have only one primary button.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Count of primary buttons per page; tree property.
CRB-02,IBM Carbon,button,Primary buttons should only appear once per screen excluding the header modal and side panel.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Scoped count that excludes specific regions; tree property.
CRB-03,IBM Carbon,button,When dialogs appear the primary button typically takes focus.,https://carbondesignsystem.com/components/button/usage/,D,no,,Focus behavior on render.
CRB-04,IBM Carbon,button,On a form pressing Enter should activate the primary button.,https://carbondesignsystem.com/components/button/usage/,D,no,,Keyboard behavior; runtime.
CRB-05,IBM Carbon,button,Secondary buttons can only be used in conjunction with a primary button.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Requires a sibling primary button; tree property.
CRB-06,IBM Carbon,button,Do not use a secondary button in isolation or for a positive action.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Isolation part is structural; positive-action part leans semantic but the pairing constraint is checkable.
CRB-07,IBM Carbon,button,Tertiary buttons should not be used in fluid arrangements.,https://carbondesignsystem.com/components/button/usage/,B,no,,Fluid arrangement is a layout context that is hard to detect statically.
CRB-08,IBM Carbon,button,Use the danger button for actions with destructive effects such as delete or remove.,https://carbondesignsystem.com/components/button/usage/,C,no,,Requires knowing the action is destructive; semantic.
CRB-09,IBM Carbon,button,Destructive actions that are a required or primary step should use the primary danger button style.,https://carbondesignsystem.com/components/button/usage/,B,no,,Trigger is a semantic destructive+primary action; not fully mechanical.
CRB-10,IBM Carbon,button,Danger buttons cannot be used in an icon-only form.,https://carbondesignsystem.com/components/button/usage/,A,yes,,Detect danger variant plus icon-only (no visible label) on one node.
CRB-11,IBM Carbon,button,Do not use two high-emphasis buttons in a button group.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Count of high-emphasis variants within a group; tree property.
CRB-12,IBM Carbon,button,Do not use tertiary and danger-tertiary buttons together.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Forbidden variant co-occurrence in a group; tree property.
CRB-13,IBM Carbon,button,Do not use primary and danger-ghost buttons together.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Forbidden variant co-occurrence in a group; tree property.
CRB-14,IBM Carbon,button,Use a button group when there are two or three actions to consider.,https://carbondesignsystem.com/components/button/usage/,B,yes,,Count of actions in a group; tree property.
CRB-15,IBM Carbon,button,Buttons in a related group should all be the same width.,https://carbondesignsystem.com/components/button/usage/,D,no,,Needs computed rendered widths.
CRB-16,IBM Carbon,button,Use the verb plus noun content formula on buttons except for common actions like Done Close or Cancel.,https://carbondesignsystem.com/components/button/usage/,C,no,,Part-of-speech and meaning judgement.
CRB-17,IBM Carbon,button,Use sentence case for all button labels.,https://carbondesignsystem.com/components/button/usage/,C,no,,Casing plus proper-noun judgement.
CRB-18,IBM Carbon,button,Do not use only a noun as a button label.,https://carbondesignsystem.com/components/button/usage/,C,no,,Part-of-speech judgement.
CRB-19,IBM Carbon,button,Left-align the label in a button even if the button is wide.,https://carbondesignsystem.com/components/button/usage/,D,no,,Rendered text alignment.
CRB-20,IBM Carbon,button,Do not truncate a button label.,https://carbondesignsystem.com/components/button/usage/,C,no,,Truncation shows at render; content/visual.
CRB-21,IBM Carbon,button,Icons should always appear to the right of the label.,https://carbondesignsystem.com/components/button/usage/,A,yes,,Order of icon vs label within a single button node.
CRB-22,IBM Carbon,button,Icons used in buttons must be directly related to the action.,https://carbondesignsystem.com/components/button/usage/,C,no,,Meaning of the icon vs action; semantic.
CRB-23,IBM Carbon,button,A tooltip is always required for an icon-only button.,https://carbondesignsystem.com/components/button/usage/,A,yes,axe-core (partial),Overlaps with axe button-name; icon-only button needs an accessible name.
CRB-24,IBM Carbon,button,Do not use buttons as navigational elements and use links to move users to a new page.,https://carbondesignsystem.com/components/button/usage/,C,no,,Requires knowing the action navigates; semantic.
CRB-25,IBM Carbon,modal,Use a modal to confirm user decisions or notify the user of urgent information.,https://carbondesignsystem.com/components/modal/usage/,C,no,,When-to-use is a semantic/context judgement.
CRB-26,IBM Carbon,modal,If a user repeatedly performs a task consider making it completable on the main page instead of a modal.,https://carbondesignsystem.com/components/modal/usage/,C,no,,Usage-frequency judgement.
CRB-27,IBM Carbon,modal,Passive modals contain no actions.,https://carbondesignsystem.com/components/modal/usage/,B,yes,,Absence of action buttons in a passive modal subtree.
CRB-28,IBM Carbon,modal,Transactional modals contain a cancel and a primary action button.,https://carbondesignsystem.com/components/modal/usage/,B,yes,,Presence of both button roles in the modal subtree.
CRB-29,IBM Carbon,modal,If an action is destructive or irreversible use a transactional danger modal.,https://carbondesignsystem.com/components/modal/usage/,B,no,,Trigger is a semantic destructive action.
CRB-30,IBM Carbon,modal,With two modal buttons place the secondary on the left and the primary on the right.,https://carbondesignsystem.com/components/modal/usage/,B,yes,,Order of the two action buttons in the footer; tree property.
CRB-31,IBM Carbon,modal,With three modal buttons each is 25 percent of the modal width and aligned to the right.,https://carbondesignsystem.com/components/modal/usage/,D,no,,Rendered widths and alignment.
CRB-32,IBM Carbon,modal,A danger modal is a transactional modal reserved for destructive or irreversible actions.,https://carbondesignsystem.com/components/modal/usage/,C,no,,Definitional and semantic.
CRB-33,IBM Carbon,modal,Modals should interrupt the workflow only for short and non-frequent tasks.,https://carbondesignsystem.com/components/modal/usage/,C,no,,Task-length and frequency judgement.
GOV-01,GOV.UK,button,Write button text in sentence case describing the action it performs.,https://design-system.service.gov.uk/components/button/,C,no,,Casing plus meaning judgement.
GOV-02,GOV.UK,button,Align the primary action button to the left edge of your form.,https://design-system.service.gov.uk/components/button/,D,no,,Rendered alignment.
GOV-03,GOV.UK,button,Avoid using multiple default buttons on a single page.,https://design-system.service.gov.uk/components/button/,B,yes,,Count of default buttons per page; tree property.
GOV-04,GOV.UK,button,Only use warning buttons for actions with serious destructive consequences that cannot be easily undone.,https://design-system.service.gov.uk/components/button/,C,no,,Requires judging severity and reversibility; semantic.
GOV-05,GOV.UK,button,Do not rely only on the red colour of a warning button to communicate seriousness.,https://design-system.service.gov.uk/components/button/,D,no,,Colour-only signalling shows at render.
GOV-06,GOV.UK,button,Make sure the context and button text make clear what will happen when a warning button is selected.,https://design-system.service.gov.uk/components/button/,C,no,,Clarity of wording; content judgement.
GOV-07,GOV.UK,button,The white button and background must have a contrast ratio of at least 4.5 to 1.,https://design-system.service.gov.uk/components/button/,D,yes,axe-core,Contrast is computed from rendered colours; standard axe check.
GOV-08,GOV.UK,button,Avoid disabled buttons where possible because they have poor contrast.,https://design-system.service.gov.uk/components/button/,A,no,,Where possible is a judgement even though disabled is detectable.
GOV-09,GOV.UK,button,Only use disabled buttons if research shows they make the interface easier to understand.,https://design-system.service.gov.uk/components/button/,A,no,,Conditioned on user research; not mechanical.
GOV-10,GOV.UK,button,When a user carries out a serious destructive action include an additional step asking them to confirm it.,https://design-system.service.gov.uk/components/button/,B,no,,Structurally a confirm-step-required rule but the trigger (serious destructive action) is semantic.
